,Unnamed: 0,eid,doi,title,year,citedby_count,cache_file_mdate,abstract
0,2-s2.0-85128245406,2-s2.0-85128245406,10.1039/d1tb02348a,Zwitterionic peptide-functionalized highly dispersed carbon nanotubes for efficient wastewater treatment,2021,1,2023-05-01 10:45:23,however hydrophobicity poor dispersibility water restrict application aqueous environment herein dispersibility mwcnt significantly enhance chimeric protein mpke consist zwitterionic peptide unit mussel adhesive protein unit mpke could easily attach mwcnt mpke mwcnt simple stirring process due versatile adhesion ability mussel adhesive unit expect mpke mwcnt display outstanding dispersibility water month well alkaline solution ph organic solvent dmso ethanol due hydrophilicity zwitterionic peptide unit moreover mpke mwcnt use silver nanoparticle carrier reduction nitrophenol wastewater normalize rate constant knor 32.9 s−1 mmol−1 meanwhile also exhibit excellent biocompatibility antibacterial activity favorable wastewater treatment work provide facile strategy mwcnt modification functionalization application aqueous environment
1,2-s2.0-85099635213,2-s2.0-85099635213,10.15330/PCSS.21.4.680-688,Ultrafine β-FeOOH and Fe3O4obtained by precipitation method: Comparative study of electrical and electrochemical properties,2021,1,2023-05-01 10:45:26,frequency dependence electrical conductivity analyze temperature range c find material show superlinear behavior frequency dependent electrical conductivity value activation energie direct current conductivity cross frequency electrical conductivity describe jonscher power law superlinear law 0.55 0.51 0.16 ev β feooh 0.22 0.21 0.1 ev fe3o4 fe o respectively accord cyclic voltammetry scan rate range mvs β feooh material show specific capacitance fg one fe3o4material fe o fg galvanostatic cycling measurement do discharge current 0.05 0.25 ag specific energy power w hkg wkg achieve β feooh material fe3o4material fe o demonstrate specific power 3.5 wkg
2,2-s2.0-85144825093,2-s2.0-85144825093,10.33263/LIANBS104.26972705,Removal of Methylene Blue by Adsorption of Water Hyacinth Derived Active Carbon Embedded with Cobalt Nanoparticles,2021,2,2023-05-01 10:45:26,water hyacinth one major problem face humankind especially egypt one implication industrial activity environmental pollution dye use production textile paper clothe one major pollutant waste dye discharge water supply without treatment ineffective treatment harmfully impact environment research treatment implement use active carbon base catalyst use embed nanoparticle lead huge increase adsorbent surface area also increase adsorbent efficiency activate carbon derive water hyacinth grow near nile river water hyacinth many practical use absorb heavy metal like lead dye water hyacinth convert activate carbon carbonization different dye use different contact time fix condition
3,2-s2.0-85144015436,2-s2.0-85144015436,10.1063/5.0072197,Synthesis and characterization of magnetite/graphene nanocomposite material for electrocatalyst of zinc-Air battery chatode,2021,0,2023-05-01 10:45:27,nowadays common material use cathode electrocatalyst metal air battery platinum superior property however scarcity expensive price cause platinum long right choice hence need develop alternative material cathode electrocatalyst transition metal oxide consider due high abundance low cost environmentally friendly magnetite fe3o4 fe o great potential develop electrocatalyst excellent catalytic property however material need support electrical conductivity porosity therefore study fe3o4 / graphene fe o like nanomaterial synthesize electrocatalyst metal air battery cathode research magnetite fe3o4 fe o synthesis electrochemically method use multielectrode solid waste iron plate whereas graphene like nanomaterial synthesize coconut shell charcoal series process calcination hummer method modification chemical reduction treatment magnetite fe3o4 / graphene fe o like nanocomposite fabricate use powder ball mill method compact dense material approach offer pure magnetite phase solid waste iron reaction pathway lead new morphology structure discuss magnetite fe3o4 / graphene fe o like composite specific surface area 542m2 / g pore size 5.1 6.8 nm classified mesoporous material observe fe3o4 fe o distribute graphene like surface form particulate composite fe3o4 / graphene fe o like composite show good ability electrocatalytic show oxygen reduction capability
4,2-s2.0-85122070384,2-s2.0-85122070384,10.15330/PCSS.22.4.644-654,Mechanisms of Charge Accumulation of the Electrochemical System LaMnO3/ AC Механізми накопичення заряду електрохімічної системи LaMnO3 / AC,2021,1,2023-05-01 10:45:27,right reserved.in work electrochemical behavior lamno3 la mn o perovskite material nanoporous carbon material aqueous solution lithium sulfate study regularity expediency joint functioning material electrode hybrid electrochemical capacitor determine find value specific capacity investigate electrochemical system lamno3/ la mn o electrolyte ac fg discharge system v value specific energy 112.1 jg discharge current
5,2-s2.0-85114794814,2-s2.0-85114794814,10.1016/j.apsusc.2021.151224,Enhanced catalytic properties of cobaltosic oxide through constructing MXene-supported nanocomposites for ammonium perchlorate thermal decomposition,2021,10,2023-05-01 10:45:30,various characterization result prove nano size co3o4 co o load mxene nanosheets cmn exhibit large specific surface area especially cmn 76.9 m2·g−1 catalytic property cmns ammonium perchlorate ap thermal decomposition investigate series catalytic experiment result show high temperature decomposition htd temperature decomposition heat ap mix cmn wt could significantly decrease 316.3 c remarkably increase 1457.9 jg−1 jg respectively moreover cmn could significantly reduce apparent activation energy ap 49.1 increase value reaction rate constant ap 482.0 effect mass content cmn ap decomposition htd temperature could decrease high 128.0 c ratio 10.0 wt cmn could predict cmns excellent catalytic performance would potential catalyst promote ap decomposition synthesis method cmn could provide idea preparation metal oxide nanomaterial high catalytic activity
6,2-s2.0-85121913469,2-s2.0-85121913469,10.1021/acsami.1c18797,Metal-Support Interactions of Single-Atom Catalysts for Biomedical Applications,2021,9,2023-05-01 10:45:36,critical challenge understand interaction single atom metal active site support material recently original research report sacs biomedical application emerge literature yet topic seldom review review focus late advance single atom catalysis biomedical application highlight keys design sac understand interaction metal support classify various enzyme like activity review help bridge knowledge multiple discipline provide prospect regard development sac biomedicine
7,2-s2.0-85121908817,2-s2.0-85121908817,10.1021/acsami.1c18081,Regulating the Interfacial Electron Density of La0.8Sr0.2Mn0.5Co0.5O3/RuOxfor Efficient and Low-Cost Bifunctional Oxygen Electrocatalysts and Rechargeable Zn-Air Batteries,2021,6,2023-05-01 10:45:36,lsmc ru exhibit outstanding bifunctional activity low potential gap 0.72 v oxygen evolution reaction oer potential cm oxygen reduction reaction orr half wave potential strong electronic interaction ruox lsmc confirm experiment theoretical calculation consequently electron rich mn center promote orr electron deficient ru centers facilitate oer zn air battery use lsmc ru air electrode deliver peak power density mw cm low charge discharge potential gap 0.58 v cm high round trip energy efficiency 60.6 retain cycle strategy anchor low dosage noble metal catalyst perovskite extend system noble metal non noble metal composite electrocatalyst achieve competitive performance low cost
8,2-s2.0-85120374731,2-s2.0-85120374731,10.1021/acs.iecr.1c02896,Titanium Dioxide/N-Doped Graphene Composites as Non-Noble Bifunctional Oxygen Electrocatalysts,2021,2,2022-11-19 17:04:31,tio2 ti o semiconductor material commonly establish active electrocatalyst oxygen reduction oxygen evolution due poor electrical conductivity low reactivity demonstrate composite compose tio2 ti o n dope graphene active oxygen reduction evolution reaction alkaline environment combination factor anataserutile interaction n dope graphene presence ti3+tin ti ti n specie raise active site improve electrochemical activity result may afford opportunity develop non noble promising electrocatalyst energy storage technology
9,2-s2.0-85119085428,2-s2.0-85119085428,10.1021/acs.iecr.1c02841,Effect of the Thermal Treatment of Fe/N/C Catalysts for the Oxygen Reduction Reaction Synthesized by Pyrolysis of Covalent Organic Frameworks,2021,7,2023-05-01 10:45:37,"publish american chemical societya nitrogen contain covalent organic framework obtain polymerization 1,3 dicyanobenzene use start material synthesis fenc catalyst oxygen reduction reaction orr work report effect thermal treatment nature catalytic property catalyst obtain thermal treatment first thermal treatment catalyst obtain contain metallic iron iron carbide particle along minority fraction inorganic fenx site acid leach second thermal treatment fenx site remain catalyst along minor fraction graphite wrap fe3c fe c particle catalyst display high activity orr catalyst subject acid leach second thermal treatment 2ht 1,3dcb display high orr activity low production h2o2 h o observation suggest iron particle fe3c fe c display orr activity mainly toward two electron pathway contrary fenx ensemble promote orr via four electron pathway via h2o h o formation"
10,2-s2.0-85116548769,2-s2.0-85116548769,10.1021/acs.iecr.1c02681,Catalytic Materials: Concepts To Understand the Pathway to Implementation,2021,12,2023-05-01 10:45:38,enable production clean fuel chemical product ultimately allow mitigation undesired gas liquid emission environment feature highly recognize scientific community industrial sector society despite relevance hurdle must overcome become industrially relevant less know many demand requirement commentary review academic point view implementation requirement catalytic material motivation perspective article come exist gap academic research industrial application account first define catalytic material structural application point view locate catalytic material entire system analysis include active site reactor system entire plant integration process subsequently propertie ideal industrial catalyst describe activity selectivity volumetric efficiency compatibility stability economic finally discuss challenge relate next stage process development may limit application although material attractive fundamental scale discuss topic provide overview fascinating world catalytic material challenge expectation catalysis base concept contribute future sustainable technology
11,2-s2.0-85122024680,2-s2.0-85122024680,10.1021/acsomega.1c05891,F-Serve as Surface Trapping Sites to Promote the Charge Separation and Transfer of TiO2,2021,3,2023-05-01 10:45:39,publish american chemical society.finde effective strategy promote charge transfer separation tio2 ti o urgently need herein surface fluorination f modify tio2 ti o denote xf x represent volume hf add solution catalyst prepare mild facile post treatment method change induce surface f morphological structural surface electronic feature charge separation transfer efficiency tio2 ti o specifically examine compare pristine 0.4f exhibit enhanced photocatalytic degradation methyl orange phenol production hydroxyl radical photocurrent response enhanced photocatalytic activity 0.4f attribute role surface f surface trap site effectively boost charge transfer separation process verify steady state time resolve fluorescence spectroscopy electrochemical impedance spectroscopy bode plot transient photocurrent response open circuit voltage measurement study emphasize role surface f promote charge transfer separation improve photocatalytic activity tio2 ti o
