,eid,doi,title,year,citedby_count,cache_file_mdate,abstract
2-s2.0-85128245406,2-s2.0-85128245406,10.1039/d1tb02348a,Zwitterionic peptide-functionalized highly dispersed carbon nanotubes for efficient wastewater treatment,2021,1,2023-05-01 10:45:23,"© 2022 The Royal Society of ChemistryMulti-walled carbon nanotubes (MWCNTs) have displayed great potential as catalyst carriers due to their nanoscale structure and large specific surface area. However, their hydrophobicity and poor dispersibility in water restrict their applications in aqueous environments. Herein, the dispersibility of MWCNTs was significantly enhanced with a chimeric protein MPKE which consisted of a zwitterionic peptide unit and a mussel adhesive protein unit. The MPKE could be easily attached to MWCNTs (MPKE-MWCNTs) by a simple stirring process due to the versatile adhesion ability of mussel adhesive unit. As expected, the MPKE-MWCNTs displayed outstanding dispersibility in water (>7 months), as well as in alkaline solutions (pH = 12) and organic solvents (DMSO and ethanol) due to the hydrophilicity of the zwitterionic peptide unit. Moreover, the MPKE-MWCNTs were used as silver nanoparticle carriers for the reduction of 4-nitrophenol in wastewater, with the normalized rate constant knor up to 32.9 s−1 mmol−1. Meanwhile, they also exhibited excellent biocompatibility and antibacterial activity, which were favorable for wastewater treatment. This work provides a facile strategy for MWCNT modification, functionalization and applications in aqueous environments."
2-s2.0-85099635213,2-s2.0-85099635213,10.15330/PCSS.21.4.680-688,Ultrafine β-FeOOH and Fe3O4obtained by precipitation method: Comparative study of electrical and electrochemical properties,2021,1,2023-05-01 10:45:26,"© Precarpathian National University. All rights reserved.In this work, ultrafine powders of β-FeOOH and Fe3O4(specific surface area values are 101 and 135 m2/g, respectively) have been obtained by precipitation method. Frequency dependences of electrical conductivity was analyzed in the temperature range of 20 - 150 °C. It has been found that the both materials show a superlinear behavior of the frequency dependent electrical conductivity. The values of activation energies for direct current conductivity, cross-over frequency for the electrical conductivity described by Jonscher power law and the superlinear law are 0.55, 0.51 and 0.16 eV for β-FeOOH and 0.22, 0.21 and 0.1 eV for Fe3O4, respectively. According to cyclic voltammetry (scan rate in the range of 1-50 mV/s) β-FeOOH material shows a specific capacitance up to 80 F/g, while the one for the Fe3O4material is about 32 F/g. Galvanostatic cycling measurements have been done for discharge currents of 0.05 - 0.25 A/g. The specific energy and power of about 8 W h/kg and 20 W/kg were achieved for the β-FeOOH material when Fe3O4material demonstrate the specific power only up to 3.5 W/kg."
2-s2.0-85144825093,2-s2.0-85144825093,10.33263/LIANBS104.26972705,Removal of Methylene Blue by Adsorption of Water Hyacinth Derived Active Carbon Embedded with Cobalt Nanoparticles,2021,2,2023-05-01 10:45:26,"© 2021 by the authors.In this research, active carbon-based catalyst synthesis and characterization were tested for potential catalysts to be used in dye removal of methylene blue (MB). Water hyacinth is one of the major problems that is facing humankind and especially here in Egypt. One of the implications of industrial activities is environmental pollution. Dyes used in the production of textiles, paper, and clothes are one of the major pollutants. The waste of those dyes discharged into water supplies without treatment or with ineffective treatment harmfully impacts the environment. In this research, the treatment is implemented using active carbon-based catalysts using embedded nanoparticles. This leads to a huge increase in the adsorbent's surface area, also increasing the adsorbent efficiency. The activated carbon was derived from water hyacinth that grows near the Nile River. Water hyacinth has many practical uses as it can absorb heavy metals like lead and dyes. Water hyacinth was converted into activated carbon through carbonization. Different dyes were used with different contact times in fixed conditions."
2-s2.0-85144015436,2-s2.0-85144015436,10.1063/5.0072197,Synthesis and characterization of magnetite/graphene nanocomposite material for electrocatalyst of zinc-Air battery chatode,2021,0,2023-05-01 10:45:27,"© 2021 Author(s).One of the most important parts of the metal-Air battery is the cathode, which must have the requirements of good catalytic and porosity properties. Nowadays, the common material used as a cathode electrocatalyst on metal-Air battery is platinum because of its superior properties. However, the scarcity and the expensive price cause platinum no longer to be the right choice, in hence we need to develop an alternative material for cathode electrocatalyst. The transition metal oxide is considered due to its high abundance, low cost, and environmentally friendly. Magnetite-Fe3O4 has great potential to be developed as electrocatalyst because of its excellent catalytic properties. However, other materials are needed to support electrical conductivity and porosity. Therefore, in this study, Fe3O4/graphene-like nanomaterial was synthesized as an electrocatalyst of metal-Air battery cathode. In this research, magnetite-Fe3O4 synthesis with electrochemically method using multielectrode from solid waste iron plate, whereas graphene-like nanomaterial had synthesized from coconut shell charcoal with a series process of calcination-Hummer method modification-chemical reduction treatments. Magnetite-Fe3O4/graphene-like nanocomposites were fabricated using powder ball mill method and compacted as dense material. This approach offers pure magnetite phase from solid waste iron. The reaction pathways leading to this new morphology and structure have been discussed. Magnetite-Fe3O4/graphene-like composite had specific surface area between 393-542m2/g with pore size of 5.1-6.8nm which is classified as mesoporous material. It observed that Fe3O4 distributed on the graphene-like surface to formed particulate composite. Fe3O4/graphene-like composite shown good ability as electrocatalytic and showed oxygen reduction capability."
2-s2.0-85122070384,2-s2.0-85122070384,10.15330/PCSS.22.4.644-654,Mechanisms of Charge Accumulation of the Electrochemical System LaMnO3/ AC Механізми накопичення заряду електрохімічної системи LaMnO3 / AC,2021,1,2023-05-01 10:45:27,"© 2021 Tyumen Scientific Centre of Siberian. All right reserved.In this work, the electrochemical behavior of LaMnO3 perovskite material and nanoporous carbon material in an aqueous solution of lithium sulfate are studied. The regularities of the expediency of the joint functioning of these materials as electrodes for a hybrid electrochemical capacitor are determined. It was found that the value of the specific capacity of the investigated electrochemical system of LaMnO3/ electrolyte / AC is 52 F/g during the discharge of the system to 1 V and the value of specific energy is 112.1 J/g at a discharge current of 1 mA."
2-s2.0-85114794814,2-s2.0-85114794814,10.1016/j.apsusc.2021.151224,Enhanced catalytic properties of cobaltosic oxide through constructing MXene-supported nanocomposites for ammonium perchlorate thermal decomposition,2021,10,2023-05-01 10:45:30,"© 2021 Elsevier B.V.The novel Co3O4@MXene nanocomposites (CMNs) were fabricated by a facile, green and highly tunable strategy without using any chemical modifiers. Various characterization results proved that nano-size Co3O4 was loaded on MXene nanosheets and CMNs exhibited a large specific surface area, especially for CMNs-3 (76.9 m2·g−1). The catalytic properties of CMNs for ammonium perchlorate (AP) thermal decomposition were investigated by a series of catalytic experiments. The results showed that the high-temperature decomposition (HTD) temperature and decomposition heat of AP mixed with CMNs-3 (2 wt%) could significantly decrease to 316.3 °C and remarkably increase to 1457.9 J·g−1, respectively. Moreover, the CMNs-3 could significantly reduce the apparent activation energy of AP by 49.1% and increase the value of reaction rate constant of AP by 482.0%. As for the effects of mass content of CMNs-3 on AP decomposition, the HTD temperature could decrease by as high as 128.0 °C with ratios of 10.0 wt% CMNs-3. It could be predicted that CMNs-3 with excellent catalytic performance would be a potential catalyst to promote AP decomposition and the synthesis method of CMNs-3 could provide an idea for the preparation of other metal oxide nanomaterials with high catalytic activity."
2-s2.0-85121913469,2-s2.0-85121913469,10.1021/acsami.1c18797,Metal-Support Interactions of Single-Atom Catalysts for Biomedical Applications,2021,9,2023-05-01 10:45:36,"© 2021 American Chemical Society.The development of single-atom catalysts (SACs) has become a rapidly growing research field. It is a critical challenge to understand the interactions between the single-atom metal active sites and the support materials. Recently, original research reports of SACs in biomedical applications have emerged in the literature, yet this topic has seldom been reviewed. Here, this review focuses on the latest advances in single-atom catalysis for biomedical applications and highlights the keys for the design of SACs, such as understanding the interactions between metals and supports and classifying various enzyme-like activities. This review helps bridge the knowledge of multiple disciplines and provides prospects regarding the development of SACs for biomedicine."
2-s2.0-85121908817,2-s2.0-85121908817,10.1021/acsami.1c18081,Regulating the Interfacial Electron Density of La0.8Sr0.2Mn0.5Co0.5O3/RuOxfor Efficient and Low-Cost Bifunctional Oxygen Electrocatalysts and Rechargeable Zn-Air Batteries,2021,6,2023-05-01 10:45:36,"© 2021 American Chemical Society.La0.8Sr0.2Mn0.5Co0.5O3 (LSMC) perovskite anchored with RuOx (LSMC-Ru) is fabricated as a new bifunctional electrocatalyst, with low dosage (2.43 wt %) and high utilization of noble metal Ru. The LSMC-Ru exhibits outstanding bifunctional activity with a low potential gap of 0.72 V between the oxygen evolution reaction (OER) potential at 10 mA cm-2 and the oxygen reduction reaction (ORR) half-wave potential. The strong electronic interaction between RuOx and LSMC is confirmed by both experiments and theoretical calculations. Consequently, the electron-rich Mn centers promote ORR, while the electron-deficient Ru centers facilitate OER. A Zn-air battery using the LSMC-Ru air electrode delivers a peak power density of 159 mW cm-2 and a low charge-discharge potential gap of 0.58 V at 2 mA cm-2. The high round-trip energy efficiency of 60.6% is retained after 300 cycles. This strategy of anchoring a low dosage noble metal catalyst to perovskite can be extended to other systems of noble metal-non-noble metal composite electrocatalysts to achieve both competitive performance and low cost."
2-s2.0-85120374731,2-s2.0-85120374731,10.1021/acs.iecr.1c02896,Titanium Dioxide/N-Doped Graphene Composites as Non-Noble Bifunctional Oxygen Electrocatalysts,2021,2,2022-11-19 17:04:31,"© 2021 American Chemical SocietyBifunctional oxygen electrocatalysts are essential in the development of low-temperature unitized regenerative fuel cells (URFCs), as a promising alternative for storing energy via hydrogen. TiO2, as a semiconductor material, is commonly not established as an active electrocatalyst for oxygen reduction and oxygen evolution due to its poor electrical conductivity and low reactivity. Here, we demonstrated that composites composed of TiO2 and N-doped graphene can be active in oxygen reduction and evolution reactions in an alkaline environment. Combination factors such anatase/rutile interaction, N-doping graphene, and the presence of Ti3+/Ti–N species raise the active sites and improve the electrochemical activity. Our results may afford an opportunity to develop a non-noble and promising electrocatalyst in energy storage technology."
2-s2.0-85119085428,2-s2.0-85119085428,10.1021/acs.iecr.1c02841,Effect of the Thermal Treatment of Fe/N/C Catalysts for the Oxygen Reduction Reaction Synthesized by Pyrolysis of Covalent Organic Frameworks,2021,7,2023-05-01 10:45:37,"© 2021 The Authors. Published by American Chemical SocietyA nitrogen-containing covalent organic framework obtained from the polymerization of 1,3-dicyanobenzene has been used as a starting material for the synthesis of Fe/N/C catalysts for the oxygen reduction reaction (ORR). In this work we report the effect of the thermal treatments on the nature and catalytic properties of the catalysts obtained after the thermal treatments. After the first thermal treatment, the catalysts obtained contain metallic iron and iron carbide particles, along with a minority fraction of inorganic FeNx sites. After acid leaching and a second thermal treatment, FeNx sites remain in the catalysts, along with a minor fraction of graphite-wrapped Fe3C particles. Both catalysts display high activity for the ORR, with the catalyst subjected to acid leaching and a second thermal treatment, 2HT-1,3DCB, displaying higher ORR activity and a lower production of H2O2. This observation suggests that iron particles, such as Fe3C, display ORR activity but mainly toward the two-electron pathway. On the contrary, FeNx ensembles promote the ORR via the four-electron pathway, that is, via H2O formation."
